time,x,y,z,a,b,slope,slip
1787237334.0427442,-0.8171521706927374,-0.30375529909382876,0.0,61.62449645996094,49.43313217163086,0.11351191252470016,0.08223278075456619
1787237334.043559,-0.8427426825892526,0.20760477531643878,0.0,57.91579055786133,45.93761444091797,0.08263158798217773,0.10092394798994064
1787237334.3422072,-0.9762060281643464,-0.3131051601095227,0.0,44.75146484375,30.656116485595703,0.11211156845092773,0.08196289837360382
1787237334.3424947,-1.0031860335684701,0.19818348567521737,0.0,41.41911697387695,27.400726318359375,0.1120958998799324,0.09288085997104645
1787237334.6923754,-1.115323567169759,-0.3189556628923417,0.0,23.610607147216797,15.322690963745117,0.06074059009552002,0.10984811186790466
1787237334.7023413,-1.1426544892066823,0.19231434473631995,0.0,16.5865421295166,10.299301147460938,0.0686679556965828,0.10197122395038605
1787237335.042079,-1.2763080412440169,-0.3259450941980193,0.0,-2.0157694816589355,4.7583160400390625,0.01855170726776123,0.05524352565407753
1787237335.042555,-1.3037860667046215,0.1853170285108573,0.0,-3.0710995197296143,3.0248284339904785,0.04642158001661301,0.05858738347887993
1787237335.3423638,-1.4401881468109572,-0.33338718839357817,0.0,-12.867271423339844,0.41081905364990234,0.017229251563549042,0.06968504190444946
1787237335.3428154,-1.4677474967291424,0.1778705570070045,0.0,-10.943889617919922,0.9479701519012451,0.062462832778692245,0.07272783666849136
1787237335.6427834,-1.581731959125988,-0.3378575683383016,0.0,-12.702316284179688,0.06887316703796387,0.03098948299884796,0.08727046847343445
1787237335.643067,-1.6099512292980358,0.1733641768867593,0.0,-11.116966247558594,0.854271650314331,0.06588204205036163,0.10183216631412506
1787237336.0423288,-1.7673071072651783,-0.34502631514429816,0.0,-12.579157829284668,-0.26627182960510254,0.028098048642277718,0.08699370175600052
1787237336.0472288,-1.7967168891740655,0.16612832361785934,0.0,-11.399089813232422,0.6665468215942383,0.0606001578271389,0.10012362897396088
1787237336.3422735,-1.904671216304353,-0.3514157848994587,0.0,-12.614965438842773,-0.326615571975708,0.026127472519874573,0.08579947054386139
1787237336.3427658,-1.9345393115979466,0.15971227819582165,0.0,-11.50040340423584,0.4560112953186035,0.04882761836051941,0.086018867790699
1787237336.6928098,-2.0424829490012377,-0.35687379083708193,0.0,-12.683614730834961,-0.34285783767700195,0.00442107068374753,0.02623877115547657
1787237336.6937943,-2.072098205837689,0.15426898428794222,0.0,-11.718541145324707,0.39793848991394043,0.047230880707502365,0.0011940536787733436
1787237337.0424132,-2.204761847827476,-0.36437619180137804,0.0,-12.651875495910645,-0.37354230880737305,0.007805494591593742,0.0822424590587616
1787237337.0430493,-2.2335161343872256,0.1468157398685573,0.0,-11.661947250366211,-0.0004887580871582031,0.05990822613239288,0.09270152449607849
1787237337.342884,-2.3660648474796604,-0.3715115686373443,0.0,-12.548267364501953,-0.5155503749847412,0.017946681007742882,0.07682786136865616
1787237337.3430598,-2.3947458120163123,0.1396844820841448,0.0,-11.632174491882324,-0.1920163631439209,0.06819725781679153,0.08439874649047852
1787237337.6428883,-2.506587508009272,-0.37730749673192004,0.0,-12.352884292602539,-0.5896627902984619,0.004591845907270908,0.06689180433750153
1787237337.6431856,-2.5350448919026474,0.1339010490710087,0.0,-11.425971984863281,-0.3932535648345947,0.06328698247671127,0.07145866751670837
1787237337.9430146,-2.6469544864660706,-0.3838025567729415,0.0,-12.136369705200195,-0.6199121475219727,0.011261829175055027,0.06990333646535873
