time,x,y,z,a,b,slope,slip
1786712143.0377667,0.664811327465695,0.8473764076882372,0.1961998531565439,52.44804763793945,33.71276092529297,1.910006858452107e-06,4.06274330089218e-06
1786712143.0379436,0.30275809362560957,0.4853522982364108,0.1962062989670896,50.09007263183594,30.764938354492188,1.8952947584693902e-06,5.488053830049466e-06
1786712143.6377718,0.8062272813157136,0.705949196592078,0.19619966746191267,24.961769104003906,10.820531845092773,7.26191938156262e-05,4.004518632427789e-05
1786712143.6378396,0.44417360038154435,0.3439255342897932,0.1962071011724759,23.426591873168945,9.996729850769043,9.370381803819328e-07,2.327322363271378e-05
1786712144.2377415,0.94763893729693,0.5645221646418068,0.19620641775626343,0.0,0.0,9.243996464647353e-05,4.206727226119256e-06
1786712144.2379396,0.5855885375439625,0.20249522084308644,0.19620799081973198,8.94051742553711,3.3568620681762695,5.876490831724368e-05,1.783163497748319e-05
1786712144.8378265,1.0890531087114974,0.42310189002307247,0.1961988755234553,0.0,0.0,7.173910034907749e-06,0.0001085940093616955
1786712144.8380058,0.7270029993399549,0.06107465592711098,0.19620764376890495,4.970312118530273,1.8119096755981445,0.00012693698226939887,6.825866148574278e-05
1786712145.5378158,1.230462744938994,0.28167852632242135,0.19620957558639832,0.0,0.0,9.971527106245048e-07,6.812690116930753e-05
1786712145.5378857,0.8684205837181829,-0.08035665635415294,0.19620787158753125,4.970312118530273,1.8119096755981445,7.368205115199089e-05,5.591131412074901e-05
1786712146.2878218,1.3895548831434283,0.12258413115863245,0.19620989483109147,0.0,0.0,9.855708640316152e-07,0.00018328928854316473
1786712146.287976,1.0275099379501016,-0.23944826746973505,0.19620806403531493,0.0,0.0,0.0001648962206672877,0.00011809789430117235
1786712146.9876978,1.548655528883373,-0.0365134437983361,0.19620888714614607,0.0,0.0,5.597117365141457e-07,5.4637192079098895e-05
1786712146.9877927,1.1865971543730385,-0.3985324121497404,0.19620803909880655,0.0,0.0,5.137076186656486e-06,1.0707086403272115e-05
1786712147.7378254,1.7077356209655052,-0.1956128701163949,0.1962099094123162,0.0,0.0,6.055866469978355e-05,1.6825262719066814e-05
1786712147.7379103,1.3456833310255658,-0.5576379235841364,0.19620660411084212,0.0,0.0,1.8093749076797394e-06,1.688204974925611e-05
1786712148.4708552,1.866821402766938,-0.35471147830209515,0.1962085795196167,0.0,0.0,0.00024257067707367241,5.0175567594124004e-05
1786712148.470931,1.5047697398827264,-0.7167371588867181,0.19620844642557497,0.0,0.0,2.571409822849091e-07,1.3771264093520585e-05
1786712149.0377216,2.025904445835552,-0.5138135095641679,0.19620851292281388,0.0,0.0,5.1213850383646786e-05,0.15095409750938416
1786712149.0378022,1.6638583125360003,-0.8758447200457672,0.19620877955886779,0.0,0.0,3.872990532727272e-07,0.11613807827234268
